Category,Tender Description,Advertised,Cancelled
Supplies: General,"FOSCO-RFP-97-24/25 REQUEST FOR PROPOSAL FOR THE SUPPLY PROVISION OF CLEANING OFFICES AND HYGIENE FACILITIES NEAT, TIDY AND IN COMPLIANCE WITH FACILITIES REGULATIONS UNDER THE OCCUPATIONAL HEALTH AND SAFETY ACT 85 OF 1993 AT FOSKOR MINING DIVISION (PHALABORWA) FOR A PERIOD OF 3 YEARS",01/10/2024,[object Object]
Services: Professional,"DESIGN, DEVELOPMENT AND PUBLISHING OF COLLEGE INTRANET SITE FOR THE COLLEGE INCLUDING MAINTENANCE, TRANSITION, TESTING, DEPLOYMENT, TECHNICAL AND MAINTENANCE SUPPORT FOR A PERIOD OF TWELVE (12) MONTHS",01/10/2024,[object Object]
Services: Professional,REQUEST FOR QUOTATION VUWANI SAPS: PROJECT 5 STAR: UPGRADING OF POLICE STATION AND CONSTRUCTION OF ADDITIONAL ACCOMMODATION (APPOINTMENT OF MECHANICAL ENGINEERING) – WCS 039789,01/10/2024,[object Object]
Services: Professional,REQUEST FOR QUOTATION DESCRIPTION: VUWANI SAPS: PROJECT 5 STAR: UPGRADING OF POLICE STATION AND CONSTRUCTION OF ADDITIONAL ACCOMMODATION (APPOINTMENT OF QUANTITY SURVEYING SERVICES) – WCS 039789.,01/10/2024,[object Object]
"Water collection, treatment and supply",SUPPLY AND INSTALL BULK WATER SYSTEM,01/10/2024,[object Object]
Education,Request for quotation for professional report writing training for interns,01/10/2024,[object Object]
Supplies: Medical,"Placement of a Fully Automated Chemistry and Immunoassay Analysers & Total Laboratory Automation (Pre-analytical, analytical, post analytical) for Inkosi Albert Luthuli Central Hospital NHLS Chemical Pathology laboratory including reagents, consumables, service and maintenance for a period of five (5) years.",01/10/2024,[object Object]
Other service activities,PROVISION OF ONLINE BACKUP SYSTEM FOR A PERIOD OF TWENTY-FOUR MONTHS FOR THE COMPETITION COMMISSION OF SOUTH AFRICA,01/10/2024,[object Object]
Supplies: General,FOSCO-RFP-103-24/25 REQUEST FOR PROPOSAL FOR THE SUPPLY PROVISION OF GENERAL PLANT CLEANING AT FOSKOR MINING DIVISION (PHALABORWA) FOR A PERIOD OF 3 (THREE) YEARS,01/10/2024,[object Object]
Manufacture of chemicals and chemical products,FOSCO-RFP-109-24/25 PROVISION OF SANAS ACCREDITED LABORATORY SERICES – CHEMICAL AND BACTERIOLOGICAL WATER ANALYSES AT FOSKOR MINING DIVISION (PHALABORWA) FOR A PERIOD OF 3 YEARS.,01/10/2024,[object Object]
Supplies: General,Supply of Office Furniture and equipment,01/10/2024,[object Object]
Other service activities,PROVISION OF ONLINE BACKUP SYSTEM FOR A PERIOD OF TWENTY-FOUR MONTHS FOR THE COMPETITION COMMISSION OF SOUTH AFRICA,01/10/2024,[object Object]
Supplies: General,"FOSCO-RFP-97-24/25 REQUEST FOR PROPOSAL FOR THE SUPPLY PROVISION OF CLEANING OFFICES AND HYGIENE FACILITIES NEAT, TIDY AND IN COMPLIANCE WITH FACILITIES REGULATIONS UNDER THE OCCUPATIONAL HEALTH AND SAFETY ACT 85 OF 1993 AT FOSKOR MINING DIVISION (PHALABORWA) FOR A PERIOD OF 3 YEARS",01/10/2024,[object Object]
Services: Professional,"DESIGN, DEVELOPMENT AND PUBLISHING OF COLLEGE INTRANET SITE FOR THE COLLEGE INCLUDING MAINTENANCE, TRANSITION, TESTING, DEPLOYMENT, TECHNICAL AND MAINTENANCE SUPPORT FOR A PERIOD OF TWELVE (12) MONTHS",01/10/2024,[object Object]
Other service activities,"SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF AUDIO-VISUAL EQUIPMENT FOR GREATER KOKSTAD MUNICIPALITY",30/09/2024,[object Object]
"Other professional, scientific and technical activities","REQUEST FOR PROPOSAL FOR THE PLANNING, DESIGN, FUND, IMPLEMENT, OPERATE AND MAINTAIN ENERGY EFFICIENCY AND REVENUE ENHANCEMENT / PROTECTION MECHANISMS AND RELATED REVENUE IMPROVEMENT STRATEGIES AT THE EMKHAZENI LOCAL MUNICIPALITY (ELM) FOR A PERIOD OF FIVE (05) YEARS",30/09/2024,[object Object]
Education,): PROJECT SPECIFICATION (TRACK MASTERS) APPOINTMENT OF A TRAINING SERVICE PROVIDER FOR METRORAIL KZN,30/09/2024,[object Object]
Other service activities,MAINTENANCE AND SERVICING OF SPRINKLER SYSTEM AT TRANSNET ENGINEERING UITENHAGE PLANT,30/09/2024,[object Object]
Education,REQUEST FOR QUOTATION FOR ADVANCED MICROSOFT EXCEL TRAINING,30/09/2024,[object Object]
"Water supply; sewerage, waste management and remediation activities",RFQJW0204DM24 - Data Loggers,30/09/2024,[object Object]
Wholesale and retail trade and repair of motor vehicles and motorcycles,THE APPOINTMENT OF SERVICE PROVIDER TO SUPPLY AND DELIVERY OF BUS NEW LONG-BLOCK ENGINE,30/09/2024,[object Object]
Other service activities,THE APPOINTMENT OF THE SERVICE PROVIDER TO CONDUCT OCCUPATIONAL HEALTH AND SAFETY TRAINING FOR A PERIOD OF SIX (06) MONTHS,30/09/2024,[object Object]
Construction,"PROVISION OF LABOUR FOR THE CONSTRUCTION OF SIDEWALKS IN CHURCH STREET, PRINCE ALBERT",30/09/2024,[object Object]
Rental and leasing activities,"A prequalification process for the establishment of a new lease for Newcastle Area Office in KwaZulu-Natal Operating Unit, Central East Cluster for a period of thirty-six (36) months",30/09/2024,[object Object]
Rental and leasing activities,"A prequalification process for the establishment of a new lease for Newcastle Area Office in KwaZulu-Natal Operating Unit, Central East Cluster for a period of thirty-six (36) months",30/09/2024,[object Object]
Activities auxiliary to financial service and insurance activities.,E-LEARNING PLATFORM INCLUDING COURSEWARE AND SUPPORT AND MAINTENANCE FOR A PERIOD OF THREE YEARS,30/09/2024,[object Object]
Accommodation,APPOINTMENT OF TOURVEST FOR TRAVEL RELATED SERVICES FOR A PERIOD OF SIX MONTHS,30/09/2024,[object Object]
Services: General,"APPOINTMENT OF SERVICE PROVIDERS FOR THE PROVISION OF SECURITY SERVICES AT ALFRED NZO HEALTH DISTRICT FACILITIES, IN THE EASTERN CAPE DEPARTMENT OF HEALTH FOR A PERIOD OF 36 MONTHS ON A RATE BASIS AS AND WHEN REQUIRED",28/09/2024,[object Object]
Specialised construction activities,Installation of welded Mesh at Limpopo Traffic Training College,27/09/2024,[object Object]
Services: Professional,Provision of Accredited Fire and Rescue Training for Fire Officers,27/09/2024,[object Object]
Services: General,"SUPPLY, INSTALLATION AND MAINTENANCE OF SECURITY INFRASTRUCTURE AT THE PROVINCIAL INTERGRATED COMMAND CENTRE (PICC BUILDING: BUILDING A – E (CCTV, VIDEO INTERCOMS AND BIOMETRIC FOR ACCESS) FOR A PERIOD OF 3 YEARS",27/09/2024,[object Object]
"Financial service activities, except insurance and pension funding","PROVISION OF SERVICES FOR THE COLLECTION, TRANSPORTATION AND DEPOSITING OF CASH FOR THE PERIOD FROM DATE OF APPOINTMENT UNTIL 30 JUNE 2027",27/09/2024,[object Object]
Other manufacturing,Bid to supply IN-Suit Object Counting System (ISOCS) to Necsa,27/09/2024,[object Object]
Services: General,"APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR MAINTENANCE, SERVICE, PARTS SUPPLY, REPAIRS & BREAKDOWN SERVICES FOR GRDM FLEET VEHICLES AND SMALL PLANT FOR A PERIOD OF THREE YEARS",27/09/2024,[object Object]
Services: Functional (Including Cleaning and Security Services),"REQUEST FOR PROSPECTIVE BIDDERS TO SUBMIT A PROPOSAL FOR A COMPREHENSIVE SECURITY GUARDING SOLUTION FOR SAMSA HEAD OFFICE FOR A PERIOD OF THREE (3) YEARS FIVE (5) MONTHS, COMMENCING ON 01 MARCH 2025 UNTIL 31 JULY 2028.",27/09/2024,[object Object]
Services: Professional,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO OFFER ENERGY AND ELECTRICAL ADVISORY SERVICES TO WESTERN CAPE MUNICIPALITIES ON AN AS NEEDED BASIS FOR THE PERIOD ENDING 31 MARCH 2026,27/09/2024,[object Object]
Services: Professional,"Quantity surveying services for : De Aar Prison: DCS: Repair and Maintenance to Buildings and Related Service, Electrical, Mechanical Installations & Civil Infrastructure.",27/09/2024,[object Object]
Education,APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT LEADERSHIP AND GOVERNANCE TRAINING USING THE GOVERNANCE TOOLKIT AS A GUIDE AND DEVELOP APPROPRIATE INSTITUTIONAL CAPACITY FOR PROPER GOVERNANCE IN THE GREATER KRUGER BIODIVERSITY ECONOMY NODE,27/09/2024,[object Object]
Services: General,TRAINING FOR OCCUPATIONAL CERTIFICATE: DIESEL MECHANIC FOR A PERIOD OF THREE YEARS,27/09/2024,[object Object]
Advertising and market research,"RECORDING ORAL HISTORIES, INTERVIEWS, AND TALKS, ALONGSIDE THE DEVELOPMENT OF A SET OF DOCUMENTARIES",27/09/2024,[object Object]
Other manufacturing,Supply and delivery of recycled plastic panels on existing dog kennels to the South African Police Service for a period of two (2) years,27/09/2024,[object Object]
Supplies: General,"THE APPOINTMENT OF SERVICE PROVIDER TO OVERHAUL DIFF, GEARBOX & ALTERNATORS",27/09/2024,[object Object]
Education,APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT FEASIBILITY STUDIES FOR THE IMPLEMENTATION OF THE KNP GEF 7 ECONOMIC PROJECTS WITHIN THE GREATER KRUGER (GK) BIODIVERSITY ECONOMIC NODE (BEN),27/09/2024,[object Object]
Supplies: Medical,APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND DELIVERY OF CLINIC EQUIPMENT WITH SOFTWARE FOR PRASA KZN REGION,27/09/2024,[object Object]
"Computer programming, consultancy and related activities",PROCUREMENT OF NEW SWICTHES TO REPLACE THE FAULTY SWICTHES,27/09/2024,[object Object]
Services: Professional,"APPOINTMENT OF PROFESSIONAL SERVICE PROVIDER TO SUPPORT THE DEVELOPMENT OF THE TOOL FOR IMPLEMENTATION OF THE NWRS-3 THROUGH THE NATIONAL WATER AND SANITATION MASTER PLAN AND FORMULATE THE MONITORING, EVALUATION AND REPORTING FRAMEWORK FOR A PERIOD OF THIRTY-SIX MONTHS (36).",27/09/2024,[object Object]
Services: Professional,Replacement of 212 Watts Led Flood Fittings Luminaries for 12 Meter High Mast at Dzanani Traffic Station,27/09/2024,[object Object]
Other service activities,CONSTRUCTION OF CHALETS AND SUPPORTING FACILITIES AT MNGCIBE VILLAGE.,27/09/2024,[object Object]
Services: Professional,"Appointment of Transaction Advisors to prepare a study into and report on international best practices on options for recycling and repurposing of key equipment of Wind, BESS and Solar PV Panels and the development of a framework for implementation under the REIPPPP for a period of eighteen (18) months.",27/09/2024,[object Object]
Education,Request for quotation of Project Management IM02002024,27/09/2024,[object Object]
Administrative and support activities,"REQUEST FOR INFORMATION (RFI) IN RESPECT OF A POSSIBLE APPOINTMENT OF A TERMINAL OPERATOR TO DESIGN, DEVELOP, CONSTRUCT, FINANCE, OPERATE, MAINTAIN AND HANDBACK A MULTI PURPOSE TERMINAL (MPT) IN THE QUAY 4 PRECINCT, AT THE PORT OF MOSSEL BAY.",27/09/2024,[object Object]
Administrative and support activities,A SERVICE PROVIDER TO FACILITATE THE STRATEGIC PLANNING SESSION,26/09/2024,[object Object]
Services: Professional,"Appointment of Technical Transaction Advisors for the Request for Proposals Design and Drafting, Evaluation of Bids received, Appointment of Preferred Bidders and the Commercial and Financial Close activities associated with the implementation of the Renewable Energy IPP Procurement Program for a period of 24 months.",26/09/2024,[object Object]
Education,Request for quotation of Monitoring and Evaluation IM01962024,26/09/2024,[object Object]
Education,Request for quote of Construction Management IM01972024,26/09/2024,[object Object]
Education,Request for quote of Facilities Management IM01982024.,26/09/2024,[object Object]
"Financial service activities, except insurance and pension funding",UNDERWRITING OF THE COUNCIL GROUP LIFE INSURANCE FOR A PERIOD OF THREE YEARS.,26/09/2024,[object Object]
Other service activities,REQUEST FOR PROPOSAL FOR THE REPLACEMENT OF THREE RADIO PARK CENTRE PORTABLE WATER GALVANISED STEEL SECTIONAL TANKS AND THE INSTALLATION OF A NEW 1000KL RESERVOIR TANK PLUS A WATER PURIFICATION PLANT,26/09/2024,[object Object]
Other service activities,"APPOINTMENT OF A COMPETENT EVENTS MANAGEMENT COMPANY TO PLAN, ORGANIZE AND EXECUTE MUNGHANA LONENE FM XITSONGA MUSIC AWARDS (XMA19) MUSIC AWARDS TO BE HELD AT NKOWANKOWA STADIUM.",26/09/2024,[object Object]
Supplies: Computer Equipment,The Provision of a Microsoft Teams Boardroom Video Conferencing Solution for PPECB,26/09/2024,[object Object]
Education,Appointment of a service provider to conduct a workplace climate survey for a period ending 31st March 2030.,26/09/2024,[object Object]
Services: Functional (Including Cleaning and Security Services),PROVISION OF SECURITY GUARDING SERVICES AT NIEUWMEESTER PARKING FOR A PERIOD OF 36 MONTHS,26/09/2024,[object Object]
Supplies: Medical,"SUPPLY, DELIVERY AND COMMISSIONING OF TWO (02) LIQUID CHROMATOGRAPH WITH TANDEM QUADRUPOLE MASS SPECTROMETER",26/09/2024,[object Object]
Services: General,"THE PROVISION OF PILOT SCALE COMBUSTION TEST FACILITY (PSCTF) ML160 COMPRESSOR AND THERMOSTAT DRIED SERVICES AND REPAIRS ON “AS AND WHEN” REQUIRED BASIS FOR A PERIOD OF THREE (3) YEARS AT ESKOM RESEARCH, TESTING AND DEVELOPMENT IN ROSHERVILLE",26/09/2024,[object Object]
"Travel agency, tour operator, reservation service and related activities","REQUEST FOR POTENTIAL SERVICE PROVIDERS TO SUBMIT DETAILED QUOTATION OF ACCOMMODATION, FLIGHTS AND CAR HIRE FOR AIDC EIGHT (8) OFFICIALS TRAVELLING TO ATTEND SA AUTO WEEK TAKING PLACE FROM THE 13TH – 19TH OCTOBER 2024 IN CAPE TOWN",26/09/2024,[object Object]
Other service activities,Appointment of service provider to supply and the installation of galvanized palisade fencing at the Strand AWS site in Cape town,26/09/2024,[object Object]
Services: Professional,THE ROAD ACCIDENT FUND (RAF) SEEKS TO APPOINT EXPERIENCED AND SUITABLE SERVICES PROVIDER TO PROVIDE A PASSWORD MANAGEMENT SOLUTION FOR A PERIOD OF THREE YEARS.,25/09/2024,[object Object]
Supplies: General,"SUPPLY AND DELIVERY OF WATER METERS, METER INTERFACE UNIT’S AND RELATED MATERIALS",25/09/2024,[object Object]
"Other professional, scientific and technical activities",Climate change vulnerability survey and response strategy,25/09/2024,[object Object]
Supplies: Electrical Equipment,"FOR THE SUPPLY, DELIVERY, AND INSTALLATION OF A 200KVA STANDBY DIESEL GENERATOR FOR THE TRANSTEL BUILDING AND A 30KVA STANDBY DIESEL GENERATOR FOR THE BERTHING FACILITY AT THE PORT OF RICHARDS BAY ON A ONCE-OFF PERIOD",25/09/2024,[object Object]
Supplies: General,Supply and delivery of battery-operated rescue tools (jaws of life),25/09/2024,[object Object]
Supplies: General,FOSRBY-RFP-32-24/25 REQUEST FOR PROPOSAL FOR THE ONCE-OFF SUPPLY OF E & I CABLE TRAY REPLACEMENT PHASE 1,25/09/2024,[object Object]
Supplies: Computer Equipment,APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVER DELL POWEREDGE BLADE SERVER,25/09/2024,[object Object]
"Computer programming, consultancy and related activities",Provision and conducting of Vulnerability Assessments and Penetration Test Services for PPECB’s ICT Infrastructure.,25/09/2024,[object Object]
Services: Functional (Including Cleaning and Security Services),APPOINTMENT OF SERVICE PROVIDERS FOR THE PROVISION OF PHYSICAL SECURITY SERVICES FOR A PERIOD OF THREE (03) YEARS.,25/09/2024,[object Object]
Services: Professional,"FOR THE FRAMING A STANDING APPROVED LIST FOR SUPPLY OF EQUIPMENT/ ASSETS, SPARES FOR OVERHEAD TRACK EQUIPMENT",25/09/2024,[object Object]
Supplies: General,THE SUPPLY AND DELIVERY OF SCM STOCK: STEEL/TIMBER/INSECTICIDE/HARDWARE TO MIDMAR DAM STORES,23/09/2024,[object Object]
Disposals: General,REQUEST FOR POTENTIAL SERVICE PROVIDERS TO SUBMIT A QUOTATION TO AIDC FOR THE PROCUREMENT OF TOWNSHIP AUTOMOTIVE HUB SPRAY PAINT WORKSHOP CONSUMABLES.,23/09/2024,[object Object]
Services: General,APPOINTMENT OF SERVICE PROVIDER TO DEVELOP GROUNDWATER RESOURCES AT FOUR OF DEPARTMENT OF SOCIAL DEVELOPMENT INSTITUTIONS (FACILITIES).,23/09/2024,[object Object]
Rental and leasing activities,Extension notice closing date for lease office space,23/09/2024,[object Object]
Specialised construction activities,"FOR THE DESIGN, INSTALLATION, TESTING AND COMMISSIONING OF NEW EFFLUENT PLANT FOR ROTATING MACHINE (RM) BUSINESS AT KOEDOESPOORT",23/09/2024,[object Object]
Services: Professional,Training for Assessment Practitioner SP-220320,23/09/2024,[object Object]
Services: Professional,THE APPOINTMENT OF FRAUD HOTLINE SERVICES PROVIDER TO PROVIDE TOLL-FREE HOTLINE SERVICES FOR BLOWING THE WHISTLE ON FRAUD AND CORRUPTION ALLEGATIONS FOR THE COMPENSATION FUND FOR A PERIOD OF THIRTY-SIX (36) MONTHS.,23/09/2024,[object Object]
Services: Professional,BID-2552S-APPOINTMENT OF PANEL OF SERVICE PROVIDERS FOR TRAINING,23/09/2024,[object Object]
"Office administrative, office support and other business support activities","APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT THE VALIDATION OF EMPLOYEES’ PERFORMANCE RATINGS AGAINST PORTFOLIO OF EVIDENCE SUBMMITTED FOR EXECUTIVES, SENIOR MANAGERS, MIDDLE MANAGERS, SUPERVISORS AND SPECIALISTS AND VALIDATE THE FINANCIAL IMPLICATIONS OF THE ANNUAL PERFORMANCE RATINGS ON BEHALF OF THE GPL FOR A PERIOD OF TWO YEARS",23/09/2024,[object Object]
Repair and installation of machinery and equipment,"Maintenance, repairs, inspection, and load testing of lifting equipment on as and when required basis for the period of 60 months",20/09/2024,[object Object]
Supplies: Computer Equipment,SUPPLY AND INSTALL OF STRUCTURED DATA CABLING INFRASTRUCTURE,20/09/2024,[object Object]
Services: Electrical,"Supply/ Design, Installation and commissioning of DC Line Voltage",20/09/2024,[object Object]
Financial and insurance activities,"APPOINTMENT OF SERVICE PROVIDER TO PROVIDE COMPREHENSIVE VEHICLE INSURANCE FOR DEPARTMENTAL OWNED VEHICLES, FOR PERIOD OF 36 MONTHS",20/09/2024,[object Object]
Education,Service Provider to conduct AutoCAD Training for PRASA/RAIL in the Western Cape Region,20/09/2024,[object Object]
Supplies: General,"APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY, DELIVERY AND INSTALLATION OF BRANDED SIGNAGE BOARDS FOR THE GREEN DOORS FACILITIES",20/09/2024,[object Object]
Services: Functional (Including Cleaning and Security Services),THE APPOINTMENT OF A SERVICE PROVIDER(S) FOR THE PROVISION OF CLEANING SERVICES AT THE GAUTENG DEPARTMENT OF HUMAN SETTLEMENTS OFFICES AND ITS REGIONAL OFFICES FOR A PERIOD OF THIRTY-SIX (36) MONTHS,20/09/2024,[object Object]
Services: Professional,"APPOINTMENT OF A SERVICE PROVIDER FOR THE ON-SITE SERVICING OF (15) FIFTEEN MICROSCOPES AT THE DIRECTORATE: INSPECTION SERVICES, PLANT HEALTH DIAGNOSTICS , PLANT QUARANTINE STATION, STELLENBOSCH, 7599.",20/09/2024,[object Object]
Construction,"DESIGN, FABRICATE AND INSTALL CARPORTS AT VEREENIGING PUMPING STATION.",20/09/2024,[object Object]
Supplies: General,SALE OF REDUNDANT OTHER ASSETS,20/09/2024,[object Object]
Food and beverage service activities,"WCGHSC0012/2024 - FOR THE PROVISION OF A COMPREHENSIVE CATERING SERVICE AT HARRY COMAY HOSPITAL, UNDER THE CONTROL OF WESTERN CAPE GOVERNMENT HEALTH AND WELLNESS (WCGHW), FOR A 3-YEAR PERIOD",20/09/2024,[object Object]
