category,tenderNumber,description,advertised,closing,cancelled,AI_Related,AI_Reason
Services: Functional (Including Cleaning and Security Services),KBP/06/2024/2025,"THE OBJECTIVE OF THIS RFB IS FOR THE APPOINTMENT OF SECURITY SERVICE PROVIDER TO RENDER GUARDING SERVICES AT WESFLEUR SHOPPING CENTRE & NEIL HARE FACTURAMA, ATLANTIS, WESTERN CAPE FOR TWENTY-FOUR (24) MONTHS.",15/09/2025,06/10/2025,,,
Services: Functional (Including Cleaning and Security Services),07/KBP/2024/2025,"THE OBJECTIVE OF THIS RFB IS FOR THE APPOINTMENT OF A SECURITY SERVICE PROVIDER TO RENDER GUARDING SERVICES AT KHAYELITSHA CENTRE & BEACON VALLEY SHOPPING CENTRE, WESTERN CAPE FOR TWENTY-FOUR (24) MONTHS",15/09/2025,06/10/2025,,,
Supplies: General,FOSRBY-RFP-33-25/26,FOSRBY-RFP-33-25/26 REQUEST FOR PROPOSAL [RFP] CLEANING OF 870 CLEAN SULPHUR STORAGE TANK AT SULPHURIC ACID A-PLANT SHUTDOWN 2025.,15/09/2025,07/10/2025,,,
Administrative and support activities,RFQ 2025-009-010,SHE Rep and Combined first aid L2 training courses,15/09/2025,22/09/2025,,,
Construction,RFB 03 2025,"RFB 03 2025-APPOINTMENT OF A SUPPLIER FOR THE SUPPLY, DELIVERY AND INSTALLATION OF PERIMETER FENCE REQUIRED AT MPUMALANGA AND LIMPOPO PROVINCIAL OFFICES",15/09/2025,10/10/2025,,,
"Computer programming, consultancy and related activities",Q05223,UPGRADE OF A BIOMETRIC LICENCE FOR UMZINYATHI DISTRICT MUNICIPALITY,15/09/2025,22/09/2025,,,
Supplies: General,FOSRBY-RFP-19-25/26,FOSRBY-RFP-19-25/26 REQUEST FOR PROPOSAL [RFP] SUPPLY OF HIGH EFFICIENCY CERAMIC SADDLES AT SULPHURIC ACID A-PLANT SHUTDOWN 2025.,15/09/2025,07/10/2025,,,
Services: General,E1472GCDLPMED.,Provision of Cleaning Services for Offices and Ablution Facilities at Medupi Power Station Project for Ten (10) Months.,15/09/2025,02/10/2025,,,
Civil engineering,VKLM/RW12/MIG/P2/2025/2026,"TENDER FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR THE DEVELOPMENT OF THE 2ND PHASE OF THE LANDFILL SITE IN DELMAS, BUILDING WORKS AND MISCELLANEOUS WORKS",15/09/2025,22/10/2025,,,
Supplies: Electrical Equipment,CTIA RFP 7922-2025,APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND DELIVERY OF CONTAINERIZED MOBILE DIESEL GENERATORS AT CAPE TOWN INTERNATIONAL AIRPORT FOR THE PERIOD OF TWELVE (12) MONTHS,15/09/2025,20/10/2025,,,
Services: General,RFQJW0108KM25-,Refurbishment of SUB E at head of works,15/09/2025,30/09/2025,,,
Services: General,RFQJW0109KM25,Refurbishment of SUB E at head of works,15/09/2025,30/09/2025,,,
Other service activities,RFQJW0107KM25,"Replacement of suspended ceiling panels, Paint interior wall and wooden doors , Tile floor and replace wooden doors.",15/09/2025,30/09/2025,,,
Construction of buildings,MHSC 013/2025-26,"Alterations, Building Works, Internal Fit-Out, Furnishing and Fire Protection for the MHSC Offices",15/09/2025,13/10/2025,,,
"Electricity, gas, steam and air conditioning",EWSETA/RFI/001/2025-26,APPOINTMENT OF SERVICE PROVIDER/ACCREDITED ELECTRICIANS TO CONDUCT AN ELECTRICAL ASSESSMENT AT THE EWSETA CAPE HOUSE OFFICES SITUATED IN JOHANNESBURG CBD,15/09/2025,23/09/2025,,,
Services: Professional,TP/2025/06/0002/98843/RFP,APPOINTMENT OF SERVICE PROVIDERS FOR THE VALUATION OF TRANSNET SOC LTD OWNED PROPERTIES FOR A PERIOD OF SIX (6) YEARS ON AN AS AND WHEN REQUIRED BASIS.,15/09/2025,02/10/2025,,,
"Electricity, gas, steam and air conditioning",RFQ/25/26/92,"Electrical upgrade and Air-conditioning Service at Hybrid Mail within Cape Mail Centre, Cape Town",15/09/2025,23/09/2025,,,
Construction,CRAC-ELF-53342,PROVISION OF REPAIRS FOR INSEZI DIESEL STORAGE TANK 2 AT RICHARDS BAY,15/09/2025,30/09/2025,,,
Construction,CSIR RFQ 6584/06/10/2025,"Request for Quotation (RFQ) for the once-off supply, delivery, installation, testing and commissioning of the battery charger display controller to Building 26 substation at the CSIR Scientia Campus in Pretoria",15/09/2025,06/10/2025,,,
Supplies: General,CPTSC04/25,C.T.: NDPWI Workshop: 24 Months term contract: Supply and delivery of carpentry material and equipment,15/09/2025,06/10/2025,,,
Activities of head offices; management consultancy activities,ZNQ00943/00000/00/HOD/GEN/25/T,DISPOSAL OF INFORMATION TECHNOLOGY ASSETS VIA SALE SCRAP METHOD,15/09/2025,25/09/2025,,,
Services: Electrical,PR10111790,"The Road Accident Fund (RAF) wishes to appoint a suitable service provider to Maintain, Service, and Repair Security Systems at East London Office on a month-to-month basis for a period not exceeding six (6) months.",15/09/2025,23/09/2025,,,
Disposals: General,SCMU3-25/26-0047-HO,SUPPLY AND DELIVERY OF N95 MASKS FOR TB HOSPITALS AND OTHER HEALTH FACILITIES IN EASTERN CAPE FOR A PERIOD OF 60 MONTHS,15/09/2025,08/10/2025,,,
Other service activities,BID NO: 005-2025/2026,APPOINTMENT OF A PANEL OF FIVE (5) FOR THE SUPPLY OF PROMOTIONAL MATERIALS FOR THE CETA,15/09/2025,06/10/2025,,,
"Computer programming, consultancy and related activities",RFQ 180 2025/26,Supply and delivery of WIFI dongles,15/09/2025,22/09/2025,,,
Supplies: General,E1838GXMPHEN,Supply and Delivery of Seal Air Fans Spares at Hendrina Power Station (Materials Management Department) for a period of 5 years,15/09/2025,14/10/2025,,,
Construction,FIN-SCM-TEN-0146,"Supply, Installation and Maintenance of x7 Passenger lifts",14/09/2025,14/10/2025,,,
Security and investigation activities,TENDER 147 OF 2025,"APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, INSTALL, MONITOR AND MAINTAIN INTRUSION ALARM SYSTEMS, SECURITY BEAMS AND CCTV CAMERA SYSTEMS FOR A CONTRACT PERIOD OF THREE (3) YEARS",14/09/2025,15/10/2025,,,
"Other professional, scientific and technical activities",SCMU7-25/26-0005,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER FOR THE DEVELOPMENT OF A SPATIAL MASTER PLAN FOR THE CURRENT N2 AND NEW WILD COAST ROAD AND OTHER AREAS OF DEVELOPMENT IDENTIFIED IN THE EASTERN SEABOARD REGIONAL SPATIAL DEVELOPMENT FRAMEWORK,13/09/2025,06/10/2025,,,
Construction,LEDA/KKP/2025/26-2B,"APPOINTMENT OF A SERVICE PROVIDER FOR THE DESIGN, CONSTRUCTION, REFURBISHMENT AND UPGRADE OF EXISTING BUILDING FACILITY AND INSTALLATION OF SWEET POTATO YOGHURT PROCESSING MACHINERY FOR KGAROSE KGAROS PTY LTD AT SESHEGO INDUSTRIAL PARK FOR A PERIOD OF TWELVE (12) MONTHS",13/09/2025,07/10/2025,,,
Construction,RFB066/25/26,RENOVATIONS AT WITBANK LABORATORY,13/09/2025,07/10/2025,,,
Real estate activities,HOAC VAR 55550,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 140333 for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Real estate activities,HOAC VAR 55534,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 100234 for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Real estate activities,HOAC VAR 55535,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 101885 for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Real estate activities,HOAC VAR 55544,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 10O579 for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Real estate activities,HOAC VAR 55537,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 603309 for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Real estate activities,HOAC VAR 55539,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 702404 for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Real estate activities,HOAC VAR 55546,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 652377 for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Real estate activities,HOAC VAR 55536,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 743348 for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Real estate activities,HOAC VAR 55549,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 652342 + 652369 (A +B) for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Real estate activities,HOAC VAR 55548,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 765228 for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Real estate activities,HOAC VAR 55547,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 765198 for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Real estate activities,HOAC VAR 55540,"For Leasing of the Transnet Rail Infrastructure Manager Sidings/Facilities, Siding Number 603341 for a minimum period of ten (10) years",13/09/2025,24/10/2025,,,
Food and beverage service activities,RFQ NO:211 AM (25/26),REQUEST FOR QUOTATION FOR A SERVICE PROVIDER TO RENDER CATERING SERVICES AT ENVIRONMENTAL HOUSE FOR MINISTERS’ MINMEC MEETING FOR 80 PEOPLE ON THE 03 OCTOBER 2025.,13/09/2025,19/09/2025,,,
Supplies: Computer Equipment,RFP/09/01/25,SUPPORT AND MAINTENANCE OF LOAN MANAGEMENT AND LOAN APPLICATION SYSTEMS OF THIRTY-SIX (36) MONTHS,12/09/2025,09/10/2025,,,
Supplies: Computer Equipment,BS/2025/RFB546,"APPOINTMENT OF THE SERVICE PROVIDER TO SUPPLY AND DELIVERY 44 LAPTOPS WHICH CONSIST OF 22 X 15-INCH RANGE LAPTOPS, 22X 14-INCH RANGE LAPTOPS AND 44 X BLUETOOTH MICE",12/09/2025,09/10/2025,,,
Services: Professional,RFP/09/02/25,THE ESTABLISHMENT OF A PRE-APPROVED PANEL OF CONTRACTORS FOR THE CONSTRUCTION OF INFRASTRUCTURE IN THE FORM OF CIVIL WORKS AND HOUSES FOR THE GAUTENG PARTNERSHIP FUND FOR A PERIOD OF THIRTY-SIX (36) MONTHS,12/09/2025,10/10/2025,,,
Construction,54Q/2025/26,"CONSTRUCTION OF THE IRT PHASE 2A CLOSED MEDIAN STATION, LEFT-ALIGNED MEDIAN AND KERB SIDE STOP INFRASTRUCTURE",12/09/2025,15/10/2025,,,
Supplies: General,57G/2025/26,SUPPLY AND DELIVERY OF PLUMBING MATERIALS FOR THE CITY OF CAPE TOWN ON AN AD HOC BASIS,12/09/2025,16/10/2025,,,
Disposals: General,50Q/2025/26,"TERM TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION, REPAIRS AND MAINTENANCE FOR TURF GRASS MANAGEMENT WITHIN COMMUNITY SERVICES AND HEALTH AND CORPORATE FACILITY MANAGEMENT WITHIN THE CITY OF CAPE TOWN FOR A PERIOD NOT EXCEEDING THREE YEARS",12/09/2025,14/10/2025,,,
Supplies: General,59G/2025/26,SUPPLY AND DELIVERY OF VARIOUS MOTORCYCLES AND ALLTERRAIN VEHICLES TO THE CITY OF CAPE TOWN ON AN AD-HOC BASIS,12/09/2025,17/10/2025,,,
Services: Electrical,60S/2025/26,CITY-WIDE TRANSVERSAL CONTRACT FOR OPERATIONS AND MAINTENANCE OF PHOTOVOLTAIC (PV) AND/OR BATTERY ENERGY STORAGE SYSTEMS (BESS) AT MUNICIPAL FACILITIES,12/09/2025,21/10/2025,,,
Education,RFQ/ETQ/25/26/147,Appointment of a service provider for: Alignment of the Automotive Manufacturing and Assembly SAQA ID 65809 into occupational qualification or skills Programmes,12/09/2025,19/09/2025,,,
Services: General,55S/2025/26,"PANEL TENDER FOR THE CUSTOMISATION & CONVERSION OF CCT PASSENGER LIGHT, HEAVY, COMMERCIAL AND ALL-TERRAIN VEHICLES",12/09/2025,15/10/2025,,,
Construction,58Q/2025/26,UPGRADE OF THE HOUT BAY ROADS INFRASTRUCTURE MANAGEMENT DEPOT,12/09/2025,20/10/2025,,,
Services: Functional (Including Cleaning and Security Services),BL25/017,Phuthaditjhaba Magistrate Office: rendering of Cleaning Services for a period of 36 months.,12/09/2025,07/10/2025,,,
Services: Professional,FMB002/2025/26,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE SERVICES IN INTERNAL CONTROLS SYSTEMS AND FINANCIAL ADMINISTRATION TO THE ENTITY FOR A PERIOD OF 1 YEAR (12 MONTHS),12/09/2025,02/10/2025,,,
Services: General,RFP/09/03/2025,THE APPOINTMENT OF A PANEL OF DUE DILLIGENCE SERVICE PROVIDERS FOR THE ASSESSMENT OF DEVELOPMENT OF AFFORDABLE HOUSING PROJECTS FOR THE GPF FOR A 36-MONTH (THREE YEARS) PERIOD,12/09/2025,13/10/2025,,,
Services: General,IHLM/61/2025-26/PLAN,PANLE OF TOWN PLANNERS FOR A PERIOD OF 02 YEARS,12/09/2025,03/10/2025,,,
Supplies: General,056G/2025/26,THE SUPPLY AND DELIVERY OF TOOLS AND ACCESSORIES ON AN ADHOC BASIS,12/09/2025,16/10/2025,,,
Administrative and support activities,RFO/APK/05/2025/IT,APPOINTMENT OF A SERVICE PROVIDER TO DISPOSE REDUNDANT MISCELLANEOUS ELECTRONICS ASSETS / EQUIPMENT FOR TVOB AS A ONCE-OFF PROJECT,12/09/2025,19/09/2025,,,
Services: General,IHLM/62/2025-26/PLAN,PANEL OF CONVEYANCERS FOR A PERIOD OF 02 YEARS,12/09/2025,03/10/2025,,,
Services: General,IHLM/63/2025-26/PLAN,PANEL OF LAND SURVEYORS FOR A PERIOD OF 02 YEARS,12/09/2025,03/10/2025,,,
Other manufacturing,51Q/2025/26,"RUSTHOF INFILL HOUSING PROJECT: CONSTRUCTION OF CIVIL, ELECTRICAL INFRASTRUCTURE AND 363 TOP STRUCTURES FOR ERVEN 13051, 13052, 34724 AND HAMMOND STREET, STRAND",12/09/2025,13/10/2025,,,
Activities of head offices; management consultancy activities,052C/2025/26,TERM TENDER FOR THE PROVISION OF MULTIDISCIPLINARY PROFESSIONAL SERVICES FOR THE WATER AND SANITATION DIRECTORATE OF THE CITY OF CAPE TOWN,12/09/2025,24/10/2025,,,
Construction,TDR56/2025/2026,CONSTRUCTION OF TOILETS FOR THE ELDERLY AND PEOPLE WITH DISABILITIES WITHIN THE GREATER MOSSEL BAY DISTRICT,12/09/2025,17/10/2025,,,
Services: General,IHLM/33/2025-26/ADMIN.,TRAINING FOR TWENTY-ONE (21) TOUR GUIDERS ON TOUR GUIDE TRAINING PROGRAMME,12/09/2025,19/09/2025,,,
"Financial service activities, except insurance and pension funding",TDR20/2025/2026,PROVISION OF EXTERNAL LOANS TO THE MOSSEL BAY MUNICIPALITY,12/09/2025,17/10/2025,,,
Supplies: General,4/1/001/2025-26,Supply and Delivery of 10 Industrial Brush Cutters For Parks.,12/09/2025,23/09/2025,,,
Supplies: General,4/1/002/2025-26,Supply and Delivery of Road Marking Paint and Thinners,12/09/2025,23/09/2025,,,
Construction,4/1/003/2025-26,Construction of Speed Bumps (Including Material),12/09/2025,23/09/2025,,,
Services: Professional,Q 39 EDTEA 2025/2026,APPOINTMENT OF SERVICE PROVIDER TO PERFORM LEGAL FUNCTIONS OF AN APPEAL MATTER IN TERMS OF SECTION 61 OF THE KZN LIQUOR LICENCING ACT NO 06 OF 2010 FOR THE PERIOD OF 2 YEARS,12/09/2025,29/09/2025,,,
Supplies: General,E1809GXMPKRI,"Supply of Spares and Maintenance during as and when required of the H2 dryer, H2 skid, CO2 evaporator, Stator Head Tank Panel and Gas Analysers at Kriel Power Station for the duration of 5 years.",12/09/2025,10/10/2025,,,
Services: Professional,GT/GDH041/2025,"THE SUPPLY, DELIVERY, INSTALLATION, COMMISSIONING AND MAINTAINANCE OF ORTHOPAEDIC SURGICAL EQUIPMENTS AND ACCESSORIES FOR THE GAUTENG DEPARTMENT OF HEALTH FOR THE PERIOD OF THREE (3) YEARS",12/09/2025,03/10/2025,,,
"Professional, scientific and technical activities",CSIR RFQ 6581/13/10/2025,Request for Quotation (RFQ) for the provision of Broad Based Black Economic Empowerment (B-BBEE) Management Services to the CSIR for a period of five (5) years,12/09/2025,13/10/2025,,,
Remediation activities and other waste management services,KHM T001/09/2025,Re-graveling and Drainage Improvement of Unpaved Roads in Sutherland (7km),12/09/2025,02/10/2025,,,
"Insurance, reinsurance and pension funding, except compulsory social security",USA/RFQ/INS/07/2025/26,"APPOINTMENT OF A SERVICE PROVIDER TO RENDER SHORT-TERM INSURANCE, UNTIL 31 MARCH 2027",12/09/2025,22/09/2025,,,
Supplies: General,IHLM/59/2025-26/MM'S,"SUPPLY AND DELIVERY OF BUSINESS CARDS, NAME TAGS AND NOTE BOOKS",12/09/2025,22/09/2025,,,
Construction,DHS 08/2025,APPOINTMENT OF THREE (3) SERVICE PROVIDER FOR THE CONSTRUCTION OF 1076 UNITS AT IKAGENG EXTENSION 13 PHASE 2 WITHIN THE JURISDICTION OF JB MARKS LOCAL MUNICIPALITY.,12/09/2025,06/10/2025,,,
Mining support service activities,NDOH 17-2025/2026,APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT THE ACTUARIAL VALUATION OF THE MINES AND WORKS COMPENSATION FUND FOR THE COMPENSATION COMMISSIONER FOR OCCUPATIONAL DISEASES (CCOD) OVER A PERIOD OF THREE (03) YEARS,12/09/2025,09/10/2025,,,
Civil engineering,2025/077,THE APPOINTMENT OF A CONTRACTOR TO UNDERTAKE CONSTRUCTION OF STEPHEN DLAMINI DAM,12/09/2025,23/10/2025,,,
Services: General,IHLM/58/2025-26/PLANN,SERVICES FOR REPLANNING OF EXTENTION 18 NKULULEKWENI TOWNSHIP IN FLAGSTAFF,12/09/2025,30/09/2025,,,
Supplies: General,IHLM/60/2025-26/ROADS,SUPPLY AND DELIVERY OF PROTECTIVE CLOTHING FOR TECHNICAL SERVICES,12/09/2025,30/09/2025,,,
Legal and accounting activities,LIM473/CONVEYANCING/25/26/005,"Qualified attorneys, law firms are invited to bid for the provision of conveyancing services for Makhuduthamaga Local Municipality for the period of 36 months.",12/09/2025,30/09/2025,,,
Services: Electrical,ORTIA7923/2025/RFQ,THE MAINTENANCE OF STANDBY DIESEL GENERATORS FOR A PERIOD OF THIRTY (36) MONTHS AT AIRPORTS COMPANY SOUTH AFRICA O.R TAMBO INTERNATIONAL AIRPORT,12/09/2025,14/10/2025,,,
Construction,DHS 01/2025,APPOINTMENT OF SIX (6) DEVELOPERS FOR CONSTRUCTION OF 450 HOUSING UNITS AT VARIOUS VILLAGES WITHIN NGAKA MODIRI MOLEMA DISTRICT,12/09/2025,06/10/2025,,,
Services: Professional,Aircon025,REQUEST FOR THE SUPPLY AND INSTALLATION OF SPLIT 4 x UNITS (AIRCONS) AT OLIEWENHUIS AND ARTBANK,12/09/2025,23/09/2025,,,
Real estate activities,INT/RFP/WC/09/WC/09/2025,REQUEST FOR PROPOSAL(RFP) FOR LEASE AND DEVELOPMENT OF PROPERTIES IN WESTERN CAPE REGION (INT/RFP/WC/09/2025),12/09/2025,05/12/2025,,,
Services: General,DPWFS (T) 002/2025,"APPOINTMENT OF A SUITABLY QUALIFIED CONTRACTOR, JOINT VENTURE OR CONSORTIUM FOR THE RENOVATIONS OF THE ROOF AT KOPANO HS OFFICES IN WELKOM, ON BEHALF OF THE DEPARTMENT OF PUBLIC WORKS AND INFRASTRUCTURE",12/09/2025,13/10/2025,,,
"Office administrative, office support and other business support activities",RFQ/FAC/25/26/166,RFQ/FAC/25/26/166 - Interactive Boardroom Solution Specification x 6 Regional Offices,12/09/2025,26/09/2025,,,
Supplies: General,Machine025,THE RFQ FOR THE SUPPLY AND DELIVERY OF A FRONT LOADER WASHING MACHINE TO OLIEWENHUIS ART MUSEUM,12/09/2025,23/09/2025,,,
Other service activities,REQUEST FOR PROPOSALS NO.MN 107/2025,REQUEST FOR PROPOSALS NO. MN 107/2025 -KWADUKUZA MUNICIPALITY REQUESTS FOR PROPOSALS FROM PROSPECTIVE SERVICE PROVIDERS TO OPERATE AND MANAGE THE MUNICIPAL OWNED WASTE BUYBACK CENTRE LOCATED IN NTSHAWINI WITHIN THE KWADUKUZA MUNICIPAL JURISDICTION FOR A PERIOD OF THREE YEARS,12/09/2025,22/10/2025,,,
Services: General,curtains025,REQUEST FOR QUOTE FOR ONCE-OFF SUPPLY AND DELIVERY OF CURTAINS,12/09/2025,23/09/2025,,,
Real estate activities,TNPA/2025/09/0004/106319/RFP,"REQUEST FOR PROPOSAL FOR THE DEVELOPMENT OF PREMISES DESCRIBED AS A PORTION OF ERF 1051 HUMEWOOD, FOR A FISH PROCESSING FACILITY, LOCATED IN THE PORT OF PORT ELIZABETH FOR A PERIOD OF 20 YEARS - PEH/09/2025/FPF",12/09/2025,14/11/2025,,,
Services: Civil,RTD 06-2025/26,"Tender for the appointment of a contractor for the Upgrading of Buitekant Street, Phase B for a duration of 16 Months",12/09/2025,15/10/2025,,,
"Office administrative, office support and other business support activities",LPT002/2025,LPT002/2025 Procurement for Provision of technical Advisory Service to Limpopo Provincial Treasury to support implementation of Municipal Finance Support Programme II for a period of 36 Months.,12/09/2025,03/10/2025,,,
"Motion picture, video and television programme production, sound recording and music publishing activities",RFQ/COM/25/26/157,RFQ/COM/25/26/157 - Appointment of a service provider for: Hybrid annual general meeting (AGM),12/09/2025,26/09/2025,,,
Construction,SC2600/2025,Drilling and Testing of Boreholes in Hermanus and Pearly Beach,12/09/2025,17/10/2025,,,
