Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID
Services: Functional (Including Cleaning and Security Services),WTE-2549ES,"GRASS CUTTING SERVICES AT MIDMAR OFFICE FOR A PERIOD OF TWELVE (12) MONTHS
",11/02/2026,05/03/2026,Water and Sanitation,Request for Quotation,KwaZulu-Natal,"MIDMAR DAM, HOWICK, HOWICK, 3290",N/A,N HLOMUKA,HLOMUKAN@DWS.GOV.ZA,033-239-1270,N/A,Yes,Yes,,MIDMAR DAM: ENTRANCE GATE,No,No,,
Information and communication,0010556544,"DDos Mitigation Services
",11/02/2026,06/03/2026,Electoral Commission (IEC),Request for Bid(Open-Tender),National,"1303 Heuwel Avenue, Centurion, Pretoria, 0046",N/A,Bridget Ndlovu,ndlovub@elections.org.za,012-622-5700,N/A,Yes,No,,Virtual-Link attached,No,No,,
Information and communication,CPSC/B/PC/416/2025,"OUTSOURCING OF SERVICE PROVIDER FOR INSTALLATION OF INTERNET/WIFI SERVICES FOR THE PERIOD OF TWENTY FOUR (24) MONTHS AT SOUTH AFRICAN NATIONAL WAR COLLEGE, ST GEORGE HOTEL. DOD PROC PLAN 25-26 / HR DIV /2895",11/02/2026,04/03/2026,Defence,Request for Bid(Open-Tender),Gauteng,"58 GOEDE HOOP AVE, DOORNKLOOF, PRETORIA, 0132",FOR TECHNICAL INFORMATION CONTACT WARRANT OFFICER R.A. LEMEKO 012 674 6583 0R 073 735 8750,CAPTAIN M.G. MMEKWA,MMANTWA.MMEKWA@DOD.MIL.ZA,012-649-6700,N/A,Yes,Yes,,"ST GEORGE HOTEL, 58 GOEDE HOOP AVE, DOORNKLOOF, PRETORIA",No,No,,
Information and communication,0010557415 , Fortinet FortiWiFi Support and Maintenance Renewal,11/02/2026,06/03/2026,Electoral Commission (IEC),Request for Bid(Open-Tender),National,"1303 Heuwel Avenue, Centurion, Pretoria, 0046",N/A,Bridget Ndlovu,ndlovub@elections.org.za,012-622-5700,N/A,No,No,,,No,No,,
Information and communication,0010556459,Veritas Software Renewal,11/02/2026,09/03/2026,Electoral Commission (IEC),Request for Bid(Open-Tender),National,"1303 Heuwel Avenue, Centurion, Pretoria, 0046",N/A,Bridget Ndlovu,ndlovub@elections.org.za,012-622-5700,N/A,No,No,,,No,No,,
Mining support service activities,DMS/02/2026,"THE APPOINTMENT OF A SERVICE PROVIDER FOR THE DESIGN, SUPPLY, CONSTRUCTION, INSTALLATION AND COMMISSIONING OF A NEW SMALL COMPACT DENSE MEDIUM SEPARATION (DMS) WASHING PLANT (CONTRACTED BY CEF), INCLUDING THE OPERATION AND MAINTENANCE OF THE WASHING PLANT AND THE MINE’S EXISTING CRUSHING AND SCREENING PLANT (CONTRACTED BY AEMFC) AT VLAKFONTEIN MINE FOR A PERIOD OF FIVE (5) YEARS, WITH AN OPTION TO EXTEND FOR A FURTHER FIVE (5) YEARS AT AEMFC’S SOLE DISCRETION.",11/02/2026,04/03/2026,CEF (Pty) Ltd,Request for Proposal,Mpumalanga,"Balmoral-Kendal Road, Ogies, Witbank , 2230",Bidders must bring along identity document (ID/Passport/Driver’s License) and also wear appropriate PPE (Personal Protective Equipment) clothing  for ease of access into the AEMFC Vlakfontein mine premises.,McKenzy Manana,McKenzyM@cefgroup.co.za,010-201-4706,N/A,Yes,Yes,,"AEMFC Vlakfontein Mine in Ogies, Witbank, Mpumalanga",No,No,,
Supplies: Computer Equipment,0010556454,Standard Laptops,11/02/2026,10/03/2026,Electoral Commission (IEC),Request for Bid(Open-Tender),National,"1303 Heuwel Avenue, Centurion, Pretoria, 0046",N/A,Bridget Ndlovu,ndlovub@elections.org.za,012-622-5700,N/A,Yes,No,,Virtual-Link attached,No,No,,
Services: General,E0126BMSERI,"PROVISION OF MAINTENANCE SERVICES AS AND WHEN REQUIRED, FOR A PERIOD OF 24
MONTHS, AT VARIOUS POWER STATIONS",11/02/2026,05/03/2026,ESKOM,Request for Bid(Open-Tender),Gauteng,"Corner Hunslet & Lower Germiston Rd, Rosherville, Johannesburg, 2094",N/A,Zandile Sindane,SindanZA@eskom.co.za,011-629-4000,N/A,Yes,Yes,,MS Teams,Yes,No,,
Services: General,E2326GXMPKUS BIDS,Publication of Names of Bidders or advertised Competitive Bids - E2326GXMPKUS,11/02/2026,27/02/2026,ESKOM,Participation,Mpumalanga,"KUSILE POWER STATION, WITBANK, EMALAHLENI/VICTOR KHANYE, 1035",N/A,Sebotso Lorraine Maepa,maepasl@eskom.co.za,013-647-6728,N/A,No,No,,,No,No,,
Construction of buildings,IDT/FAC/01/022026,"PROCUREMENT OF A DESIGN AND BUILD CONTRACTOR
FOR THE STRUCTURAL REPAIRS AND ALTERATIONS AT THE INDEPENDENT DEVELOPMENT
TRUST (IDT) NATIONAL OFFICE BUILDING, PRETORIA",11/02/2026,04/03/2026,Independent Development Trust,Request for Bid(Open-Tender),Gauteng,"IDT Head Offices, Block B, Glenwood Office Park, 294 Sprite Ave,  Faerie Glen, Pretoria , 0043",N/A,Yonela Bobani,HOREPAIRS@IDT.ORG.ZA,012-845-2000,N/A,Yes,Yes,,"IDT Head Offices, Block B, Glenwood Office Park, 294 Sprite Ave, Faerie Glen, Pretoria, 0043",No,No,,
Services: General,RFQJW021TN26,RFQJW021TN26 - ONLINE REMUNERATION AND BENCHMARKING,11/02/2026,18/02/2026,Johannesburg Water,Request for Quotation,Gauteng,"65 Ntemi Piliso Street, Newtown, Johannesburg, 2001",N/A,Tlangelani Nkuna,tlangelani.nkuna@jwater.co.za,011-688-1925,N/A,No,No,,,Yes,No,,
Other service activities,E2547GXMPTUT,"PROVISION OF FIRE & EMERGENCY MEDICAL SERVICES AT TUTUKA POWER
STATION FOR A PERIOD OF 5 YEARS.",11/02/2026,04/03/2026,ESKOM,Request for Bid(Open-Tender),Mpumalanga,"Tutuka Power Station, Standerton, Standerton, 2430",N/A,Moleboheng Radebe,RadebeML@eskom.co.za,017-799-2297,N/A,No,No,,,Yes,No,,
Services: General,ATNS/FAPE/RFQ30/2025/26_GATE_,"APPOINTMENT OF A SUITABLE SERVICE PROVIDER TO SUPPLY, DELIVER AND INSTALL A NEW HEAVY DUTY MOTORISED SLIDING GATE AT ATNS FAPE.",11/02/2026,27/02/2026,Air Traffic and Navigation Services Company Limited,Request for Quotation,Eastern Cape,"Allister Miller Drive, Walmer, Port Elizabeth (Gqeberha), 6070",N/A,sinenhlanhla Mbongwa,SinenhlanhleM@atns.co.za,011-607-1000,N/A,Yes,Yes,,"ATNS FAPE Control Tower, Allister Miller Drive, Chief Dawid Stuurman International Airport. Walmer",No,No,,
Construction of buildings,CI-GK-0156A,Upgrades for 11 Units in Nyathi Rest Camp in Addo Elephant National Park,11/02/2026,12/03/2026,South African National Parks,Request for Bid(Open-Tender),Eastern Cape,"Nyathi Rest Camp, Addo Elephant National Park, Addo, 6105","A compulsory clarification meeting with representatives of the Employer will take place at the Ulwazi Interpretive Centre in Addo Rest Camp, Addo Elephant National Park. The tenderers must be represented at the site inspection by a person who is suitably qualified and experienced to comprehend the implications of the work involved. Attendance of the site inspection is compulsory, and a tender will be disqualified if the site inspection is not attended by a representative of the tenderer.",Garret Kobe,garret.kobe@sanparks.org,012-426-5132,N/A,Yes,Yes,,"Ulwazi Interpretative Centre, Addo Rest Camp, Addo Elephant National Park",No,No,,
Supplies: Electrical Equipment,E2470NTCSAKZNEG,"The Supply and Delivery SF6 gas and cylinders for National Transmission
Company of South Africa – East Grid",11/02/2026,06/03/2026,ESKOM,Request for Bid(Open-Tender),KwaZulu-Natal,"Tenders are to be submitted electronically via Eskom E- tendering site by the stipulated closing dat, PINETOWN, PINETOWN",E TENDERING,Lindokuhle Chonco,choncolg@ntcsa.co.za,016-457-5541,N/A,No,No,,,Yes,No,,
Services: Professional,MSQ 0394 OF 2026,Provision of Job Grading Exercise,11/02/2026,25/02/2026,Msunduzi Museum,Request for Quotation,KwaZulu-Natal,"351 Langalibalele street , Pietermaritzburg, Pietermaritzburg, 3201",N/A,Ms Thembelihle Ndebele,tndebele@msunduzimuseum.org.za,033-394-6834,033-394-6797,No,No,,uMsunduzi Museum,No,No,,
Employment activities,REISSUE KZNGFA RFQ 2025 – 20 ,"APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE A JOB EVALUATION, GRADING & SALARY BENCHMARKING",11/02/2026,24/02/2026,KZN Growth Fund Trust,Request for Quotation,KwaZulu-Natal,"3rd Floor South Towers, 4 Arundel Close, 2 Kingsmead Boulevard, Stamford Hill, Durban, Durban, 4001",N/A,Bonga Khuzwayo  ,scm@kzngf.co.za,031-372-3720,N/A,No,No,,,No,No,,
"Office administrative, office support and other business support activities",BS/2025/RFB531,APPOINTMENT OF SERVICE PROVIDER FOR PROVISION OF A HOSTED RISK MANAGEMENT AND COMPLIANCE SOLUTION FOR A PERIOD OF THREE YEARS,11/02/2026,06/03/2026,Banking Sector Education and Training Authority,Request for Bid(Open-Tender),Gauteng,"Eco Origin Office Park, Block C2, 349 Witch-hazel Avenue, , centurion , Centurion, , 0144","Non-compulsory Virtual Briefing
Bidders who wish to attend an online briefing session should indicate in writing 5 Days after advertising date.",Jack Serite,Jacks@bankseta.org.za,011-805-9661,N/A,Yes,No,,MS Teams ,No,No,,
Manufacture of furniture,SRVM RFQ 22/2026,SUPPLY AND DELIVERY OF OFFICE FURNITURE,11/02/2026,19/02/2026,Sundays River Valley Municipality,Request for Quotation,Eastern Cape,"23 MIDDLE STREET, NQWEBA, NQWEBA, 6120",N/A,SINAWO MANGE,PA_Infrastructure@srvm.gov.za,042-230-7759,042-230-1799,No,,,,No,No,,
Transportation and storage,NT003-2026,APPOINTMENT OF A SERVICE PROVIDER FOR THE PROVISION OF OFF-SITE RECORDS MANAGEMENT STORAGE SERVICES FOR A PERIOD OF THREE (3) YEARS,11/02/2026,06/03/2026,National Treasury,Request for Bid(Open-Tender),Gauteng,"41 Matroosberg Road, Ashlea Gardens, Pretoria, 0002",N/A,NTAdministrative Tenders,NTAdministrativeTenders@Treasury.gov.za,012-406-9007,N/A,Yes,No,,https://teams.microsoft.com/meet/32716428981803?p=Y1IclbEVzuU61g9yRi,Yes,No,,
Repair and installation of machinery and equipment,Cancel-BFN Load Limiting devices - E2342DXFSOU,Cancellation - The Establishment of an enabling agreement for the Supply and Installation of BFN Load Limiting Devices for the Free State Operating Unit.,11/02/2026,02/03/2026,ESKOM,Request for Bid(Open-Tender),Free State,"ESKOM CENTRE, 120 Henry Street, Westdene , Bloemfontein, 9301",N/A,SHERUSHA GOVENDER,govendsh@eskom.co.za,051-404-2043,051-404-2043,No,No,,,No,No,,
Services: Professional,MISA/WCDM/KL/034/2025/26,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER FOR THE DEVELOPMENT OF WATER CONSERVATION AND DEMAND MANAGEMENT PLANS FOR KOPANONG LOCAL MUNICIPALITY,11/02/2026,04/03/2026,Municipal Infrastructure Support Agent,Request for Bid(Open-Tender),National,"Kopanong Local Municipality, Kopanong Local Municipality, Free State","A Non-Compulsory Virtual Briefing session will be held online on MS Teams
Microsoft Teams meeting 
Join: https://teams.microsoft.com/meet/365536844860?p=f2A29ojLbnkvo41GXJ 
Meeting ID: 365 536 844 860 
Passcode: yN3qm6gz
Date: 17 February 2026
At 10:00 AM
",Ms. Dineo Kau,tenders@misa.gov.za,012-848-5300,N/A,Yes,No,,Microsoft Teams meeting  Join: https://teams.microsoft.com/meet/365536844860?p=f2A29ojLbnkvo41GXJ  M,No,No,,
Wholesale and retail trade and repair of motor vehicles and motorcycles,Service and Maintenance Plan for Nine (9) Isuzu Ba,Re-Advertised RFQ for Service and Maintenance Plan for Nine (9) Isuzu Bakkies,11/02/2026,23/02/2026,Railway Safety Regulator,Request for Quotation,Gauteng,"Waterfall Point Building, Cnr Woodmead Drive and Waterfall Drive, Waterfall City., Johannesburg, Johannesburg, 1685",N/A,Mr. Daniel Matladi,danielm@rsr.org.za,010-495-5391,N/A,No,No,,,Yes,No,,
Information and communication,CPSC-B-PC-390-2025,INVITATION BID NUMBER: CPSC/B/PC/390/2025 OUTSOURCING OF SERVICE PROVIDER FOR SUPPLY AND INSTALLATION OF INTERNET/WIFI SERVICES FOR THE PERIOD OF THIRTY SIX (36) MONTHS AT MILITARY HEALTH BASE DEPOT. DOD PROC PLAN ,11/02/2026,04/03/2026,Defence,Request for Bid(Open-Tender),Gauteng,"BALSAMINE AND PATRIOT STREET, PRETORIA, PRETORIA, 0001",FOR TECHNICAL INFORMATION CONTACT CORPORAL N.C. MOSIA 012 355 4200 OR 076 525 6737,CAPTAIN M.G. MMEKWA,MMANTWA.MMEKWA@DOD.MIL.ZA,012-649-6700,N/A,Yes,Yes,,"MILITARY HEALTH BASE DEPOT, BALSAMINE AND PATRIOT ROAD",No,No,,
Construction,TENDER 11/2026,"UPGRADING OF ROADS AND STORMWATER IN BITTERWATER CENTRAL, LEEU-GAMKA",11/02/2026,18/03/2026,Prince Albert Municipality,Request for Bid(Open-Tender),Western Cape,"Leeu-Gamka Community Hall, Gompou Street, Leeu-Gamka, Leeu-Gamka, 6950","COMPULSORY CLARIFICATION MEETING
A compulsory tender clarification meeting will be held as follow:
Leeu-Gamka Community Hall, Gompou Street, Leeu-Gamka, 6950 - 19 February 2026 at 11H30.

Tenderers who arrive late (after 11H45) will not be allowed to join the clarification meeting. No bids will be accepted from bidders who did not attend the compulsory clarification meeting.
",Mr. James Hough,James.Hough@smec.com,044-873-5029,044-873-5029,Yes,Yes,,"Leeu-Gamka Community Hall, Gompou Street, Leeu-Gamka, 6950",No,No,,
Civil engineering,Bid Saws Number-435/25,"Supply, delivery, installation and commissioning of four (4) pressure certified hydrogen storage vessels to
the South African Weather Service at Irene Weather Office in Pretoria, Bloemfontein Weather Office,
Gqeberha / Port Elizabeth Weather Office, and Cape Town Weather Office.",11/02/2026,04/03/2026,South African Weather Service,Request for Bid(Open-Tender),Gauteng,"1263 Heuwel road, centurion,0157, Centurion, Pretoria, 0157",N/A,Zandile Sebotsane,zandile.sebotsane@weathersa.co.za,012-367-6000,N/A,Yes,Yes,,Irene Weather Office ARC Premises Main Road Irene,Yes,No,,
Services: Professional,RFQ 02FEBRUARY26,Request for Appointment of a Service Provider for the Performance Evaluation of the Film and Publication Council and its Committees,11/02/2026,23/02/2026,Film and Publication Board,Request for Quotation,Gauteng,"ECO Glade 2 , 420 Witch Hazel Street, Centurion",N/A,Makhosazana Hlatshwayo,makhosazana.hlatshwayo@fpb.org.za,012-003-1400,N/A,No,No,,,Yes,No,,
"Other professional, scientific and technical activities",CSIR RFP 1214/25/02/2026,Request for Proposals (RFP)The Provision of services for the implementation of Aerospace Quality Management Standard AS/EN9100 for a company supported by the CSIR,11/02/2026,25/02/2026,Council for Scientific and Industrial Research (CSIR),Request for Proposal,National,"Meiring Naudé Road, Brummeria, Pretoria, 0001",N/A,Supply Chain Management,tender@csir.co.za,012-841-2911,N/A,No,No,,,No,No,,
Services: Professional,RFP NUMBER: LCETC 2026-030,"THE APPOINTMENT OF A SUITABLE EXTERNAL AUDIT FIRM TO PERFORM THE EXTERNAL AUDIT ON THE ANNUAL FINANCIAL STATEMENTS FOR THE 2025, 2026 AND 2027 FINANCIAL YEARS FOR LIMPOPO COMMUNITY EDUCATION AND TRAINING COLLEGE.",11/02/2026,05/03/2026,The Limpopo Community Education and Training College,Request for Bid(Open-Tender),Limpopo,"Unit 3, JCJ Corner Building, 2 Biccard Street, Polokwane, Polokwane, Polokwane, 0699",N/A,MS FN HLUNGWANI,FHlungwani@LP.CETC.edu.za,015-753-0000,N/A,Yes,No,,"Unit 3, JCJ Corner Building, 2 Biccard Street, Polokwane",No,No,,
Manufacturing,TE/2026/02/0149/1135/RFP,FOR THE SUPLLY/PROVISION OF REFURBISH OF AIRCONS UNITS FOR BLUE TRAIN FOR A ONCE OFF PERIOD,11/02/2026,25/02/2026,Transnet SOC Ltd,Request for Proposal,Gauteng," Cor Cresswell and Koedoespoort Road, 0186 (Kopanong Boardroom) , Koedoespoort, Pretoria, 0186",N/A,Johannes Mmatli,johannes.mmatli@transnet.net,012-842-6455,N/A,Yes,Yes,,"17 FEBRUARY 2026 Cor Cresswell and Koedoespoort Road, 0186 (Kopanong Boardroom) at 11H00am until 13H",No,No,,
Services: Professional,FMB003/2025/26,THE RE-ADVERTISEMENT AND APPOINTMENT OF A SERVICE PROVIDER THROUGH A SHORTENED PERIOD OF 14 DAYS TO PROVIDE SERVICES IN INTERNAL CONTROLS SYSTEMS AND FINANCIAL ADMINISTRATION TO THE ENTITY FOR A PERIOD OF (24 MONTHS).,11/02/2026,24/02/2026,Free State - Fleet Management ,Request for Bid(Open-Tender),Free State,"45 CHARLOTTE MAXEKE STREET , Bloemfontein, Bloemfontein, 9301","
Contact person for Technical Enquiries	Mev. L Dunn  Cell	060 524 4339 	Email Address	lauradr@fsfleet.gov.za
",Mr. RJ Molisana,MolisanaR@freetrans.gov.za,082-371-0182,N/A,No,No,,,No,No,,
Other service activities,Tender Awards Notice,Please see NEF website - https://www.nefcorp.co.za/nef-tenders/ for all NEF Tender Related information,11/02/2026,31/07/2026,National Empowerment Fund,Request for Proposal,National,"N/A, N/A, N/A",N/A,SCM,SCM@NEFCORP.CO.ZA,011-305-8000,N/A,No,No,,,No,No,,
Activities auxiliary to financial service and insurance activities.,NF/TEN: 355,APPOINTMENT OF A SERVICE PROVIDER FOR SELLING OF BBI DEBTORS BOOK,11/02/2026,05/03/2026,Broadband Infraco SOC,Request for Proposal,Gauteng,"2040 Octave Street, Radiokop, Haneydew, 2040","1. Proof of funds available to acquire Broadband Infraco’s debtors’ book. Audited Financial Statement and / or previous three months bank statements.
2. Letter from bank or reputable and licensed financial institution indicating how the balance of the purchase price will be funded.
3. Attend the compulsory briefing session",Valentia Baloyi,valencia.baloyi@infraco.co.za,011-235-1621,N/A,Yes,Yes,,Virtual -  Teams - https://teams.microsoft.com/meet/3721180983297?p=7XJYNOcjfzz6imlcUN ,No,No,,
Services: Professional,RFQ Number: 4290/25,Supply and installation of a 1 X Automatic roll-up door for Balloon room at the Springbok Weather Office.,11/02/2026,27/02/2026,South African Weather Service,Request for Quotation,Northern Cape,"South African Weather Service  Springbok Weather Office Enroute to Kleinzee Road    8240, Centurion,, Springbok, 8240",N/A,Ms.Carol Lekalakala,Carol.lekalakala@weathersa.co.za,012-367-6252,N/A,Yes,Yes,,South African Weather Service  Springbok Weather Office Enroute to Kleinzee Road  Springbok  8240,No,No,,
Supplies: General,T32.25.26,SUPPLY AND DELIVERY OF EMERGENCY FIRE KITS,11/02/2026,06/03/2026,Swartland Municipality,Request for Bid(Limited-Tender,Western Cape,"Malmesbury, Malmesbury, Malmesbury, 7300",N/A,Melvin Harmse,harmsem@swartland.org.za,022-487-9400,N/A,No,No,,,No,No,,
Information and communication,10368291,REQUEST FOR QUOTATION (RFQ) FOR APPOINTMENT OF SERVICE PROVIDER TO PROVIDE TRAINING SERVICE FOR VARIOUS ICT TRAINING COURSES,11/02/2026,26/02/2026,Passenger Rail Agency of South Africa,Request for Quotation,Western Cape,"3 Old Marine Drive , Cape Town , Cape Town, 8001","Should a bidder not be able to join with the link, below is the meeting ID.
Meeting ID: 394 671 587 844 69
Passcode: xP6Ce3hr",Qaqamba Kon,Qaqamba.Kona@prasa.com,021-832-1040,N/A,Yes,Yes,,https://teams.microsoft.com/meet/39467158784469?p=wYaXjkmDp3Vv1uvXb3,No,No,,
Services: Professional,RFQ: GSM009/2026,Request for quotation for Fare Audit,10/02/2026,27/02/2026,South African Airways (Pty) Limited,Request for Quotation,National,"32 Jones Road,  Airways Park, Johannesburg (Head Office), Kempton Park, Isando, 1627",N/A,Lethabo Ntlekoana,LethaboNtlekoana@flysaa.com,011-978-2149,N/A,No,No,,,No,No,,
"Electricity, gas, steam and air conditioning",E2381NTCSAMWP,"THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING, TRAINING AND AFTER SALE SUPPORT FOR THE PERMANENT ONLINE GAS ANALYSERS FOR 
USE ON TRANSFORMERS AND REACTORS ON AN “AS AND WHEN” REQUIRED BASIS FOR PERIOD OF FIVE (5) YEARS FOR NTCSA.",10/02/2026,27/02/2026,ESKOM,Request for Bid(Open-Tender),Gauteng,"No 1 Mawell Drive, Sunninghill, Johannesburg, 2157",N/A,Themba Ntuli,ntulith@ntcsa.co.za,011-800-6326,086-539-7370,Yes,Yes,,MS Teams,Yes,No,,
Construction,UMS/TS/MIG_DSAC/02/2026,Upgrading of Umsobomvu Sports Facilities ,10/02/2026,17/03/2026,Umsobomvu Local Municipality,Request for Bid(Open-Tender),Northern Cape,"Murray Street, COLESBERG, COLESBERG, 9795",N/A,S MTUBU,smtubu@umsobomvumun.co.za,051-753-0040,N/A,Yes,Yes,,Umsobomvu Mayors office,No,No,,
Services: General,ERI2025BMS01A,"Regret/Award of Provision of Coal stockyard operating and
maintenance services at ERI Kendal Power station.",10/02/2026,10/03/2026,ESKOM,Request for Bid(Open-Tender),Mpumalanga,"Cnr Lower Germiston and Hunslet Road, Kendal, Kendal, 1000",N/A,Johanna Heisi,HeisiJM@eskom.co.za,011-629-4000,N/A,No,No,,,No,No,,
Telecommunications,RFQ NUMBER: KZN/PRASA/2026/02/09/Q,APPOINTMENT OF A QUALIFIED SERVICE PROVIDER TO SUPPLY AND DELIVER OF TELECOMMUNICATION TOOLS FOR MAINTENANCE OF TELECOMMUNICATION SYSTEMS.,10/02/2026,27/02/2026,Passenger Rail Agency of South Africa,Request for Quotation,KwaZulu-Natal,"65 MASABALALA YENGWA AVENUE, DURBAN",N/A,Sihesenkosi Ngubane,sihesenkosi.ngubane@prasa.com,031-813-0139,N/A,No,No,,,No,No,,
Services: Professional,ZNT 15 EDTEA 25/26,"APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE CLEANING SERVICES AT VRYHEID DISTRICT OFFICE FOR THE DEPARTMENT OF ECONOMIC DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS FOR A PERIOD OF 36 MONTHS",10/02/2026,11/03/2026,"Kwazulu Natal - Economic Development, Tourism and Environ Affairs",Request for Bid(Open-Tender),KwaZulu-Natal,"270 Jabu Ndlovu Street, Pietermaritzburg, 3201",N/A,SCM Office,Bids@kznedtea.gov.za,033-264-2731,N/A,Yes,Yes,,"251 Utrecht Street, Vryheid 3100 (next to TFS wholesale) ",No,No,,
Services: Electrical,02 OF 2026,APPOINTMENT OF A SERVICE PROVIDER TO DEVELOP AN ELECTRONIC NETWORK SYSTEM FOR ELECTRICAL NETWORKS (GIS SYSTEM) FOR FARMS ,10/02/2026,03/03/2026,Makhado Local Municipality,Request for Bid(Open-Tender),Limpopo,"83 Krogh Street, Makhado, Makhado, 0920","•	ATTACH CERTIFIED COPY OF REGISTRATION WITH THE SOUTH AFRICAN ENGINEERING COUNCIL (ECSA) 
•	ATTACH PROOF OF EXPERIENCE IN DISTRIBUTION PROTECTION COORDINATION (ATTACH AT LEAST 3 APPOINTMENT LETTERS WITH COMPLETION LETTERS)
•	ATTACH COPY OF SOFTWARE LICENSE FOR PROTECTION COORDINATION TOOLS 
",Ms Phophi Mudau,phophimu@makhado.gov.za,015-519-3000,N/A,No,No,,,No,No,,
